"No.","Time","Source","Destination","Protocol","Length","Info"
"23687","313.241520818","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23688","313.242711821","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23690","313.243834954","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23691","313.245240893","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23693","313.247685014","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23694","313.248126102","192.168.42.57","52.203.178.138","TLSv1.2","638","Application Data"
"23695","313.248205148","192.168.42.57","52.203.178.138","TLSv1.2","104","Application Data"
"23696","313.248878711","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23698","313.248912703","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23702","313.252328604","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23704","313.253448242","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23705","313.255158869","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2404:6800:4007:812::200e","TLSv1.3","673","Application Data"
"23706","313.255219391","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2404:6800:4007:812::200e","TLSv1.3","313","Application Data"
