"No.","Time","Source","Destination","Protocol","Length","Info"
"721","9.033676656","192.168.43.63","64.68.120.47","TLSv1.2","571","Client Hello"
"725","9.039660182","192.168.43.63","114.29.220.99","TLSv1.2","1267","Application Data"
"726","9.040940734","192.168.43.63","114.29.220.99","TLSv1.2","97","Application Data"
"730","9.098061161","192.168.43.63","104.115.92.112","TLSv1.2","931","Application Data"
"734","9.105481581","192.168.43.63","114.29.220.99","TLSv1.2","1062","Application Data"
"744","9.140010977","192.168.43.63","104.115.92.112","TLSv1.2","583","Client Hello"
"745","9.140217118","192.168.43.63","104.115.92.112","TLSv1.2","583","Client Hello"
"746","9.140391734","192.168.43.63","104.115.92.112","TLSv1.2","583","Client Hello"
"768","9.209999105","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"777","9.232628241","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"780","9.234041430","104.115.92.112","192.168.43.63","TLSv1.2","218","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"781","9.234041457","104.115.92.112","192.168.43.63","TLSv1.2","218","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"785","9.234181878","104.115.92.112","192.168.43.63","TLSv1.2","218","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"788","9.234201205","192.168.43.63","104.115.92.112","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"790","9.234302749","192.168.43.63","104.115.92.112","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"791","9.234383883","192.168.43.63","104.115.92.112","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"792","9.234484536","192.168.43.63","104.115.92.112","TLSv1.2","932","Application Data"
"793","9.234546307","192.168.43.63","104.115.92.112","TLSv1.2","925","Application Data"
"794","9.234609693","192.168.43.63","104.115.92.112","TLSv1.2","924","Application Data"
"798","9.246048682","114.29.220.99","192.168.43.63","TLSv1.2","1333","Application Data"
"823","9.370460652","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data, Application Data"
"844","9.965713202","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"872","10.087752213","114.29.220.99","192.168.43.63","TLSv1.2","1384","Application Data"
"889","10.519709406","114.29.220.99","192.168.43.63","TLSv1.2","1384","Application Data"
"891","10.599446794","114.29.220.99","192.168.43.63","TLSv1.2","1938","Application Data"
"895","10.601670726","192.168.43.63","64.68.120.47","TLSv1.2","571","Client Hello"
"904","10.679543798","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data, Application Data"
"928","10.747250576","64.68.120.47","192.168.43.63","TLSv1.2","1224","Server Hello, Certificate"
"932","10.750676678","64.68.120.47","192.168.43.63","TLSv1.2","587","Certificate Status"
"934","10.750792537","64.68.120.47","192.168.43.63","TLSv1.2","396","Server Key Exchange, Server Hello Done"
"936","10.760263268","192.168.43.63","64.68.120.47","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"937","10.760664371","192.168.43.63","64.68.120.47","TLSv1.2","646","Application Data"
"940","10.763049112","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"973","10.880888566","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1004","11.120891017","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1036","11.157940585","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1072","11.551941240","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data, Application Data"
"1105","11.694953103","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1151","12.740635489","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1175","13.199450635","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1208","13.246907961","64.68.120.47","192.168.43.63","TLSv1.2","1224","Server Hello, Certificate"
"1212","13.250427292","64.68.120.47","192.168.43.63","TLSv1.2","587","Certificate Status"
"1214","13.261633052","64.68.120.47","192.168.43.63","TLSv1.2","396","Server Key Exchange, Server Hello Done"
"1218","13.263136108","192.168.43.63","64.68.120.47","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
